TransactionDate,Location,ItemName,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_TotalQty,PerInvoiceAverageAmount
9-Jan-23,Rupsha,Clean 100ml,250,110,13,123,940,103400,0,99070.01
28-Dec-22,Rupsha,Clean 100ml,250,10,0,10,940,9400,0,24037.21
27-Dec-22,Rupsha,Clean 100ml,250,100,11,111,940,94000,0,99070.01
13-Dec-22,Rupsha,Clean 100ml,250,20,1,21,940,18800,0,47482.12
27-Oct-22,Rupsha,Gentech - P.S (20 LTr.),0,1,0,1,11700,11700,0,86872.62
16-Oct-22,Rupsha,Fresmin F 10kg,2178,2,0,2,4595,9190,0,24958.65
29-Sep-22,Rupsha,Gentech - P.S (20 LTr.),0,2,0,2,11700,23400,0,86872.62
1-Sep-22,Rupsha,Clean 100ml,250,36,0,36,940,33840,0,24037.21
25-Aug-22,Rupsha,Clean 100ml,250,3,0,3,940,2820,0,4279.68
20-Aug-22,Rupsha,Clean 100ml,250,11,0,11,940,10340,0,10357.26
20-Aug-22,Rupsha,Clean 100ml,250,9,1,10,940,8460,0,10357.26
3-Aug-22,Rupsha,Clean 100ml,250,1,0,1,940,940,0,3853.7
3-Aug-22,Rupsha,Clean 100ml,250,4,0,4,940,3760,0,9404.92
2-Aug-22,Rupsha,Clean 100ml,250,24,1,25,940,22560,0,47482.12
1-Aug-22,Rupsha,Clean 100ml,250,3,0,3,940,2820,0,17913.91
26-Jul-22,Rupsha,Clean 100ml,250,6,0,6,940,5640,0,12103.68
16-May-22,Rupsha,Clean 100ml,1,4,0,4,940,3760,0,6222.72
9-May-22,Rupsha,Clean 100ml,1,10,0,10,940,9400,0,10357.26
8-May-22,Rupsha,Clean 100ml,1,7,0,7,940,6580,0,11323.86
8-May-22,Rupsha,Clean 100ml,1,5,0,5,940,4700,0,24508.15
25-Oct-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,17856.07
21-Oct-23,Surma,Clean 100ml,250,1,0,1,940,940,0,24126.24
21-Oct-23,Surma,Clean 100ml,250,99,15,114,940,93060,0,24126.24
17-Oct-23,Surma,Clean 100ml,250,17,1,18,940,15980,0,38699.44
16-Oct-23,Surma,Clean 100ml,250,60,5,65,940,56400,0,53487.89
15-Oct-23,Surma,Clean 100ml,250,4,0,4,940,3760,0,24126.24
15-Oct-23,Surma,Clean 100ml,250,4,0,4,940,3760,0,24126.24
15-Oct-23,Surma,Clean 100ml,250,92,15,107,940,86480,0,24126.24
14-Oct-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,38699.44
